Date;Value (CHF)
1. quarter 1988;16331004304
2. quarter 1988;17026560573
3. quarter 1988;16176505780
4. quarter 1988;18911502986
1. quarter 1989;17970181526
2. quarter 1989;19799378772
3. quarter 1989;17898300359
4. quarter 1989;20990250035
1. quarter 1990;20334220727
2. quarter 1990;20534786019
3. quarter 1990;18900704645
4. quarter 1990;21104800879
1. quarter 1991;19766505607
2. quarter 1991;20836133027
3. quarter 1991;19414211562
4. quarter 1991;22003656347
1. quarter 1992;21771391525
2. quarter 1992;21918405089
3. quarter 1992;20344641163
4. quarter 1992;22113936326
1. quarter 1993;21113536156
2. quarter 1993;21833176584
3. quarter 1993;20552257477
4. quarter 1993;23160073256
1. quarter 1994;22367115276
2. quarter 1994;21972436508
3. quarter 1994;21380234144
4. quarter 1994;24493561495
1. quarter 1995;22643607318
2. quarter 1995;23069028059
3. quarter 1995;22150929517
4. quarter 1995;24148453863
1. quarter 1996;23171331888
2. quarter 1996;23478012879
3. quarter 1996;22588307495
4. quarter 1996;24936235564
1. quarter 1997;24167837753
2. quarter 1997;26601683432
3. quarter 1997;25690695803
4. quarter 1997;28672425845
1. quarter 1998;26783514146
2. quarter 1998;27900790182
3. quarter 1998;26604948947
4. quarter 1998;27823542177
1. quarter 1999;26899100742
2. quarter 1999;27917916456
3. quarter 1999;27955635766
4. quarter 1999;31672827148
1. quarter 2000;30656215525
2. quarter 2000;31113444897
3. quarter 2000;31164541182
4. quarter 2000;33614927388
1. quarter 2001;33831851307
2. quarter 2001;33723890089
3. quarter 2001;31351770954
4. quarter 2001;32809547623
1. quarter 2002;33216343623
2. quarter 2002;35084042661
3. quarter 2002;33110698435
4. quarter 2002;34329678043
1. quarter 2003;32979875286
2. quarter 2003;33296910096
3. quarter 2003;33033978582
4. quarter 2003;36161398511
1. quarter 2004;36430805600
2. quarter 2004;36432786702
3. quarter 2004;35828546219
4. quarter 2004;37620146967
1. quarter 2005;36743793738
2. quarter 2005;40203164275
3. quarter 2005;38626742217
4. quarter 2005;41403614272
1. quarter 2006;42870400462
2. quarter 2006;43727965886
3. quarter 2006;43255183729
4. quarter 2006;47621272673
1. quarter 2007;48270503459
2. quarter 2007;49268083912
3. quarter 2007;48647227542
4. quarter 2007;51346934446
1. quarter 2008;50186778569
2. quarter 2008;55119673400
3. quarter 2008;52289031990
4. quarter 2008;48734910929
1. quarter 2009;44203828139
2. quarter 2009;44522528199
3. quarter 2009;44775241199
4. quarter 2009;47032318793
1. quarter 2010;47240072610
2. quarter 2010;48862956536
3. quarter 2010;47475189335
4. quarter 2010;49901593464
1. quarter 2011;49944155946
2. quarter 2011;50285774077
3. quarter 2011;47058080454
4. quarter 2011;50619018912
1. quarter 2012;50192233644
2. quarter 2012;49728375230
3. quarter 2012;49583243694
4. quarter 2012;51108478319
1. quarter 2013;49121830669
2. quarter 2013;51067211736
3. quarter 2013;49924648299
4. quarter 2013;51099622444
1. quarter 2014;51318893654
2. quarter 2014;51455354373
3. quarter 2014;51881603974
4. quarter 2014;53701550639
1. quarter 2015;50568802128
2. quarter 2015;49612567196
3. quarter 2015;49385794126
4. quarter 2015;53351774112
1. quarter 2016;51478657056
2. quarter 2016;53494546675
3. quarter 2016;52468183361
4. quarter 2016;53031533781
1. quarter 2017;55066002079
2. quarter 2017;54598466944
3. quarter 2017;53561069982
4. quarter 2017;57356865645
1. quarter 2018;57594425083
2. quarter 2018;59958285114
3. quarter 2018;54852964051
4. quarter 2018;60818505394
1. quarter 2019;60669671940
2. quarter 2019;61416959946
3. quarter 2019;59847973039
4. quarter 2019;60409237072
1. quarter 2020;61447014830
2. quarter 2020;50416870972
3. quarter 2020;55064111233
4. quarter 2020;58363231892
1. quarter 2021;61963837263
2. quarter 2021;63843229898
3. quarter 2021;64868508664
4. quarter 2021;69104254964
1. quarter 2022***;70872464971
2. quarter 2022***;69798181943
3. quarter 2022***;67739155412
;
;
;
;
;
;
;
;
;
;
Request date/time: 24.10.2022 17:32:30;
© 1988 - 2022 Federal Office for Customs and Border Security FOCBS;
