DATE,CLVMNACSAB1GQCH
1980-01-01,92366.7
1980-04-01,92249.1
1980-07-01,93000.0
1980-10-01,93510.0
1981-01-01,93083.2
1981-04-01,94419.7
1981-07-01,95014.8
1981-10-01,94611.8
1982-01-01,93703.0
1982-04-01,93111.0
1982-07-01,92922.8
1982-10-01,92501.7
1983-01-01,93455.0
1983-04-01,93054.3
1983-07-01,93638.2
1983-10-01,94244.4
1984-01-01,95423.3
1984-04-01,95566.9
1984-07-01,96807.0
1984-10-01,97794.2
1985-01-01,99213.4
1985-04-01,99750.8
1985-07-01,99978.2
1985-10-01,100835.4
1986-01-01,101013.0
1986-04-01,102308.3
1986-07-01,102057.0
1986-10-01,101862.7
1987-01-01,101697.1
1987-04-01,102854.2
1987-07-01,104248.1
1987-10-01,105074.5
1988-01-01,105561.9
1988-04-01,105685.6
1988-07-01,107061.9
1988-10-01,109206.8
1989-01-01,109310.5
1989-04-01,111474.3
1989-07-01,111975.0
1989-10-01,113207.9
1990-01-01,115697.2
1990-04-01,116125.7
1990-07-01,115303.2
1990-10-01,115006.2
1991-01-01,115207.5
1991-04-01,114262.4
1991-07-01,114119.8
1991-10-01,114466.8
1992-01-01,115401.0
1992-04-01,115137.6
1992-07-01,114066.0
1992-10-01,113204.2
1993-01-01,112816.2
1993-04-01,114021.4
1993-07-01,114946.0
1993-10-01,115489.0
1994-01-01,116198.6
1994-04-01,114424.1
1994-07-01,115829.8
1994-10-01,116679.6
1995-01-01,116138.9
1995-04-01,116088.2
1995-07-01,116605.4
1995-10-01,116439.8
1996-01-01,117602.0
1996-04-01,116636.0
1996-07-01,116327.1
1996-10-01,116997.5
1997-01-01,117697.6
1997-04-01,118980.1
1997-07-01,120280.2
1997-10-01,121127.6
1998-01-01,122146.9
1998-04-01,123472.7
1998-07-01,123753.2
1998-10-01,123411.6
1999-01-01,123589.5
1999-04-01,124163.1
1999-07-01,125440.3
1999-10-01,128354.1
2000-01-01,129338.8
2000-04-01,129707.0
2000-07-01,130645.1
2000-10-01,131825.5
2001-01-01,132398.8
2001-04-01,132841.1
2001-07-01,132239.9
2001-10-01,132258.9
2002-01-01,132209.9
2002-04-01,132644.9
2002-07-01,132770.3
2002-10-01,132091.6
2003-01-01,131047.0
2003-04-01,131407.0
2003-07-01,132775.9
2003-10-01,134352.7
2004-01-01,135189.4
2004-04-01,135999.6
2004-07-01,136536.6
2004-10-01,136605.0
2005-01-01,137346.6
2005-04-01,139431.7
2005-07-01,140721.6
2005-10-01,142337.5
2006-01-01,143812.3
2006-04-01,144858.4
2006-07-01,146041.0
2006-10-01,147700.1
2007-01-01,149218.3
2007-04-01,150754.6
2007-07-01,151952.0
2007-10-01,153771.4
2008-01-01,155056.6
2008-04-01,157040.1
2008-07-01,157329.8
2008-10-01,152876.3
2009-01-01,150267.3
2009-04-01,151310.2
2009-07-01,153221.1
2009-10-01,154510.7
2010-01-01,155524.7
2010-04-01,156596.1
2010-07-01,158067.5
2010-10-01,159109.7
2011-01-01,160035.4
2011-04-01,160783.0
2011-07-01,160097.2
2011-10-01,160559.9
2012-01-01,162475.0
2012-04-01,161627.2
2012-07-01,162547.7
2012-10-01,162573.1
2013-01-01,163315.1
2013-04-01,165005.3
2013-07-01,166063.2
2013-10-01,166546.6
2014-01-01,167572.0
2014-04-01,168926.3
2014-07-01,169938.1
2014-10-01,170796.5
2015-01-01,170421.0
2015-04-01,171568.2
2015-07-01,172923.4
2015-10-01,173621.1
2016-01-01,174131.9
2016-04-01,175493.4
2016-07-01,176137.9
2016-10-01,176980.9
2017-01-01,177262.4
2017-04-01,177569.5
2017-07-01,178649.9
2017-10-01,180378.9
2018-01-01,182675.7
2018-04-01,184374.4
2018-07-01,183460.2
2018-10-01,184032.5
2019-01-01,184653.1
2019-04-01,185434.8
2019-07-01,186284.7
2019-10-01,187125.1
2020-01-01,184440.1
2020-04-01,173004.5
2020-07-01,184054.0
2020-10-01,183907.1
2021-01-01,183680.4
2021-04-01,186914.1
2021-07-01,190714.2
2021-10-01,191266.4
