Date;Value (CHF)
1. quarter 1988;18106302394
2. quarter 1988;19282979513
3. quarter 1988;19055910480
4. quarter 1988;20730058567
1. quarter 1989;20995416216
2. quarter 1989;22991349984
3. quarter 1989;20910599342
4. quarter 1989;23262799076
1. quarter 1990;23493565941
2. quarter 1990;22949779085
3. quarter 1990;21244622033
4. quarter 1990;22156002012
1. quarter 1991;21753203808
2. quarter 1991;22787433839
3. quarter 1991;21537995678
4. quarter 1991;22602633029
1. quarter 1992;22600829958
2. quarter 1992;22509818968
3. quarter 1992;20638086578
4. quarter 1992;20990579794
1. quarter 1993;20581030330
2. quarter 1993;21259620340
3. quarter 1993;20324052405
4. quarter 1993;21602571250
1. quarter 1994;21014110016
2. quarter 1994;22046364849
3. quarter 1994;21196858763
4. quarter 1994;23021731286
1. quarter 1995;22930688129
2. quarter 1995;23036912503
3. quarter 1995;21638722772
4. quarter 1995;23169142893
1. quarter 1996;23310103252
2. quarter 1996;22967390985
3. quarter 1996;22138573763
4. quarter 1996;23551255964
1. quarter 1997;25005358717
2. quarter 1997;26075174088
3. quarter 1997;25520888618
4. quarter 1997;26486173835
1. quarter 1998;26376448260
2. quarter 1998;27071875347
3. quarter 1998;25960881495
4. quarter 1998;27456530276
1. quarter 1999;27258591739
2. quarter 1999;27538338921
3. quarter 1999;28197088025
4. quarter 1999;30421578659
1. quarter 2000;31222802953
2. quarter 2000;31476537499
3. quarter 2000;31439981664
4. quarter 2000;34475998978
1. quarter 2001;34044331543
2. quarter 2001;33547974038
3. quarter 2001;31255077336
4. quarter 2001;31204595918
1. quarter 2002;32443884054
2. quarter 2002;33566436936
3. quarter 2002;30839182404
4. quarter 2002;31357554412
1. quarter 2003;32665196286
2. quarter 2003;30948490888
3. quarter 2003;31324998196
4. quarter 2003;33656781819
1. quarter 2004;33736401070
2. quarter 2004;33937089410
3. quarter 2004;34002600064
4. quarter 2004;35310432068
1. quarter 2005;35476104946
2. quarter 2005;37135614402
3. quarter 2005;36948371712
4. quarter 2005;39534181693
1. quarter 2006;40730213605
2. quarter 2006;40936565524
3. quarter 2006;39442943433
4. quarter 2006;44300617463
1. quarter 2007;44981231099
2. quarter 2007;45856497945
3. quarter 2007;44698191693
4. quarter 2007;48041910941
1. quarter 2008;46265791291
2. quarter 2008;49060056492
3. quarter 2008;46897078922
4. quarter 2008;44660707732
1. quarter 2009;41282424819
2. quarter 2009;38656747147
3. quarter 2009;38964463222
4. quarter 2009;41283328754
1. quarter 2010;41933498128
2. quarter 2010;44410650576
3. quarter 2010;42701334960
4. quarter 2010;44945387578
1. quarter 2011;44804227974
2. quarter 2011;43904225869
3. quarter 2011;41976494433
4. quarter 2011;43702918241
1. quarter 2012;44704760646
2. quarter 2012;43722536609
3. quarter 2012;43499347609
4. quarter 2012;44854408830
1. quarter 2013;43433855958
2. quarter 2013;44670555898
3. quarter 2013;43234226098
4. quarter 2013;46303469278
1. quarter 2014;44369294141
2. quarter 2014;44641238636
3. quarter 2014;44251975027
4. quarter 2014;45342171618
1. quarter 2015;42571952306
2. quarter 2015;40218678915
3. quarter 2015;39902135363
4. quarter 2015;43699340978
1. quarter 2016;42242645214
2. quarter 2016;44264292930
3. quarter 2016;42580881114
4. quarter 2016;44454258703
1. quarter 2017;44215714484
2. quarter 2017;46506882378
3. quarter 2017;45098179877
4. quarter 2017;49952986056
1. quarter 2018;50756824709
2. quarter 2018;52398845865
3. quarter 2018;48106688754
4. quarter 2018;50586439213
1. quarter 2019;51658782453
2. quarter 2019;51966795958
3. quarter 2019;50516211385
4. quarter 2019;51008340292
1. quarter 2020;49324311266
2. quarter 2020;40659717227
3. quarter 2020;45188676839
4. quarter 2020;47139586274
1. quarter 2021;47696217992
2. quarter 2021;49909715481
3. quarter 2021;49454048304
4. quarter 2021;54258653436
1. quarter 2022***;59091563840
2. quarter 2022***;58976236678
3. quarter 2022***;56722243436
;
;
;
;
;
;
;
;
;
;
Request date/time: 24.10.2022 17:33:38;
© 1988 - 2022 Federal Office for Customs and Border Security FOCBS;
