Date;Value
1987-12;729926000
1988-01;736952000
1988-02;741363000
1988-03;743639000
1988-04;738115000
1988-05;751037000
1988-06;762801000
1988-07;758377000
1988-08;762402000
1988-09;772872000
1988-10;770667000
1988-11;778992000
1988-12;778226000
1989-01;795211000
1989-02;790805000
1989-03;800415000
1989-04;809735000
1989-05;818210000
1989-06;818002000
1989-07;811690000
1989-08;819323000
1989-09;823985000
1989-10;831104000
1989-11;845565000
1989-12;832428000
1990-01;843973000
1990-02;845834000
1990-03;852522000
1990-04;856827000
1990-05;858320000
1990-06;860769000
1990-07;863950000
1990-08;861396000
1990-09;871239000
1990-10;873342000
1990-11;873960000
1990-12;861831000
1991-01;868435000
1991-02;879424000
1991-03;886876000
1991-04;886194000
1991-05;881902000
1991-06;892399000
1991-07;886678000
1991-08;880802000
1991-09;888600000
1991-10;888453000
1991-11;895489000
1991-12;884070000
1992-01;897482000
1992-02;892977000
1992-03;895618000
1992-04;898561000
1992-05;897393000
1992-06;895158000
1992-07;895427000
1992-08;893272000
1992-09;908937000
1992-10;918525000
1992-11;936355000
1992-12;912586000
1993-01;925499000
1993-02;924427000
1993-03;927076000
1993-04;920533000
1993-05;922282000
1993-06;934066000
1993-07;935308000
1993-08;930603000
1993-09;931727000
1993-10;956284000
1993-11;965404000
1993-12;966405000
1994-01;981963000
1994-02;988398000
1994-03;994630000
1994-04;991567000
1994-05;989604000
1994-06;988889000
1994-07;997381000
1994-08;989606000
1994-09;989925000
1994-10;992925000
1994-11;1009136000
1994-12;993633000
1995-01;1003509000
1995-02;998882000
1995-03;998633000
1995-04;993097000
1995-05;991114000
1995-06;995995000
1995-07;994680000
1995-08;1001659000
1995-09;1000934000
1995-10;996874000
1995-11;1020243000
1995-12;1015341000
1996-01;1044805000
1996-02;1038368000
1996-03;1051210000
1996-04;1074899000
1996-05;1077224000
1996-06;1093519000
1996-07;1080753000
1996-08;1067266000
1996-09;1098983000
1996-10;1098943000
1996-11;1127277000
1996-12;1151618000
1997-01;1228855000
1997-02;1240888000
1997-03;1225868000
1997-04;1235194000
1997-05;1242215000
1997-06;1270265000
1997-07;1306017000
1997-08;1257207000
1997-09;1256258000
1997-10;1257904000
1997-11;1268451000
1997-12;1301278000
1998-01;1307236000
1998-02;1297383000
1998-03;1359045000
1998-04;1334405000
1998-05;1355532000
1998-06;1414500000
1998-07;1405606000
1998-08;1398982000
1998-09;1381825000
1998-10;1415233000
1998-11;1418372000
1998-12;1367646000
1999-01;1420945000
1999-02;1414022000
1999-03;1454795000
1999-04;1485394000
1999-05;1517755000
1999-06;1530794000
1999-07;1511342000
1999-08;1511058000
1999-09;1561280000
1999-10;1561903000
1999-11;1655476000
1999-12;1670180000
2000-01;1677751000
2000-02;1736613000
2000-03;1844856000
2000-04;1822015000
2000-05;1759883000
2000-06;1665529000
2000-07;1688400000
2000-08;1702823000
2000-09;1753608000
2000-10;1804479000
2000-11;1746380000
2000-12;1654318000
2001-01;1685753000
2001-02;1695367000
2001-03;1720547000
2001-04;1685213000
2001-05;1781377000
2001-06;1700481000
2001-07;1601763000
2001-08;1581464000
2001-09;1571084000
2001-10;1589507000
2001-11;1689194000
2001-12;1621518000
2002-01;1660037000
2002-02;1685439000
2002-03;1671466000
2002-04;1743754000
2002-05;1735320000
2002-06;1667637000
2002-07;1592611000
2002-08;1612372000
2002-09;1620067000
2002-10;1734455000
2002-11;1693500000
2002-12;1649522000
2003-01;1603904000
2003-02;1600490000
2003-03;1638614000
2003-04;1625363000
2003-05;1674171000
2003-06;1691751000
2003-07;1653385000
2003-08;1663280000
2003-09;1674048000
2003-10;1641400000
2003-11;1668662000
2003-12;1653812000
2004-01;1721445000
2004-02;1782771000
2004-03;1782709000
2004-04;1770290000
2004-05;1759981000
2004-06;1753211000
2004-07;1767019000
2004-08;1736182000
2004-09;1712145000
2004-10;1707595000
2004-11;1746452000
2004-12;1710467000
2005-01;1759075000
2005-02;1778478000
2005-03;1763829000
2005-04;1823236000
2005-05;1837754000
2005-06;1866231000
2005-07;1834136000
2005-08;1887649000
2005-09;1945302000
2005-10;1857817000
2005-11;1983670000
2005-12;1910783000
2006-01;1879280000
2006-02;1937816000
2006-03;2047269000
2006-04;2148771000
2006-05;2156926000
2006-06;2023158000
2006-07;2036482000
2006-08;1984187000
2006-09;2086780000
2006-10;2140800000
2006-11;2081395000
2006-12;2025017000
2007-01;2107377000
2007-02;2219958000
2007-03;2328526000
2007-04;2487260000
2007-05;2530157000
2007-06;2303765000
2007-07;2281460000
2007-08;2303981000
2007-09;2303285000
2007-10;2389545000
2007-11;2379474000
2007-12;2385102000
2008-01;2354632000
2008-02;2337408000
2008-03;2296947000
2008-04;2347065000
2008-05;2141073000
2008-06;2097484000
2008-07;2065317000
2008-08;2095861000
2008-09;2167407000
2008-10;2238174000
2008-11;2265082000
2008-12;2060416000
2009-01;2151682000
2009-02;2132601000
2009-03;2111154000
2009-04;2100079000
2009-05;2063501000
2009-06;2096577000
2009-07;2049114000
2009-08;2036443000
2009-09;2006910000
2009-10;1985640000
2009-11;2013122000
2009-12;1974688000
2010-01;2026366000
2010-02;2057146000
2010-03;2013866000
2010-04;2027653000
2010-05;2137852000
2010-06;2045668000
2010-07;2024611000
2010-08;1990827000
2010-09;2001486000
2010-10;1994287000
2010-11;1991767000
2010-12;1983347000
2011-01;1944767000
2011-02;1961000000
2011-03;1948931000
2011-04;1971517000
2011-05;1940604000
2011-06;1939417000
2011-07;1928063000
2011-08;1996861000
2011-09;2098348000
2011-10;2022711000
2011-11;2074341000
2011-12;2104373000
2012-01;2105632000
2012-02;2105008000
2012-03;2091651000
2012-04;2098131000
2012-05;2189946000
2012-06;2154753000
2012-07;2216799000
2012-08;2231079000
2012-09;2216717000
2012-10;2212839000
2012-11;2200647000
2012-12;2231251000
2013-01;2249870000
2013-02;2267731000
2013-03;2276872000
2013-04;2272404000
2013-05;2280857000
2013-06;2359400000
2013-07;2359115000
2013-08;2378661000
2013-09;2366970000
2013-10;2376968000
2013-11;2383315000
2013-12;2390677000
2014-01;2400088000
2014-02;2400694000
2014-03;2379190000
2014-04;2367263000
2014-05;2373029000
2014-06;2360830000
2014-07;2372480000
2014-08;2404087000
2014-09;2434093000
2014-10;2424266000
2014-11;2438857000
2014-12;2452705000
2015-01;2512250000
2015-02;2543406000
2015-03;2531423000
2015-04;2570619000
2015-05;2537305000
2015-06;2501001000
2015-07;2519979000
2015-08;2527701000
2015-09;2528207000
2015-10;2538946000
2015-11;2566639748.723148
2015-12;2510535340.989226
2016-01;2564699412.063706
2016-02;2490349173.913481
2016-03;2477725819.643649
2016-04;2492491816.530587
2016-05;2500985670.140939
2016-06;2515722129.481417
2016-07;2508863444.4706173
2016-08;2518497360.247914
2016-09;2528529254.557498
2016-10;2527015763.813931
2016-11;2611284797.944253
2016-12;2582043258.384383
2017-01;2565650423.400413
2017-02;2594154327.418296
2017-03;2584997863.416945
2017-04;2599264813.808455
2017-05;2606362633.259368
2017-06;2620313654.594719
2017-07;2641128481.87071
2017-08;2622016478.783755
2017-09;2614652827.561182
2017-10;2634252652.460779
2017-11;2636947889.053729
2017-12;2625514915.509075
2018-01;2650207515.487364
2018-02;2642765208.454025
2018-03;2653511688.390724
2018-04;2708442475.501763
2018-05;2711705161.684099
2018-06;2673379292.819959
2018-07;2676584321.686577
2018-08;2662983665.03697
2018-09;2636084639.977844
2018-10;2670284460.398723
2018-11;2667001615.450398
2018-12;2649036643.739659
2019-01;2689415117.0354
2019-02;2690841535.0541763
2019-03;2673423212.157073
2019-04;2709938670.501222
2019-05;2686419854.2967424
2019-06;2667621736.277489
2019-07;2684902768.532734
2019-08;2701928260.260292
2019-09;2713890107.718963
2019-10;2713652935.475174
2019-11;2770854789.1508074
2019-12;2735366414.233612
2020-01;2756745814.195996
2020-02;2802969606.528058
2020-03;2864257983.578223
2020-04;2949197644.466692
2020-05;2951450109.735326
2020-06;2925032244.34983
2020-07;2966660021.752805
2020-08;2960427814.030083
2020-09;2957804631.3278775
2020-10;2964077200.797675
2020-11;2969272357.711162
2020-12;2930610355.77658
2021-01;2989199504.1853
2021-02;3029985848.310574
2021-03;3055226679.3224244
2021-04;3028540101.330076
2021-05;3030140736.611022
2021-06;3039891710.0768
2021-07;3029869283.501408
2021-08;3051758335.8385983
2021-09;3065872377.108713
2021-10;3065069748.102744
2021-11;3085858298.385057
2021-12;3052463903.80534
2022-01;3108441900.587923
2022-02;3122982238.314622
2022-03;3130783679.982
2022-04;3194795492.140148
2022-05;3171564930.322416
2022-06;3127088121.781223
2022-07;3130470817.641028
